"","target","N_Day","mes","year","nivel","tmed","pDia","niv7","niv14","niv30","niv60","niv90","niv180","t7","t14","t30","t60","t90","t180","p30","p60","p90","p180","niv010","niv020","niv030"
"463",-3.7,29482,9,1980,621.35,18.375,0,621.77875,622.134,622.98064516129,624.452950819672,625.74010989011,625.582542541437,18.890625,18.4916666666667,17.4758064516129,18.7356557377049,17.5892857142857,13.820368519337,50.5,50.5,141.7,437.2,-0.102999999999997,-0.109999999999997,-0.101999999999998
"470",-3.3,29489,9,1980,620.49,16.5,0,620.955,621.368,622.228709677419,623.731475409836,625.147032967033,625.591769060773,16.234375,17.5083333333333,17.3225806451613,18.3975409836066,17.6153846153846,14.1926060883978,28,53,96.2,429.7,-0.123000000000002,-0.1125,-0.111333333333334
"477",-3.1,29496,10,1980,619.36,17.25,0,619.91125,620.429333333333,621.392580645161,622.969836065574,624.459230769231,625.564365745856,17.21938775,16.7420068,17.5283903870968,18.2623787213115,17.8448362857143,14.435728198895,58.2,93.2,136.4,469.9,-0.154999999999995,-0.136000000000001,-0.124333333333334
"484",-3.3,29503,10,1980,618.28,8.5,5,618.82375,619.368,620.491290322581,622.16868852459,623.719340659341,625.49546961326,15,16.0336734666667,16.7824226451613,17.348444295082,17.7253307912088,14.8156359226519,60.7,98.2,138.4,474.9,-0.152999999999997,-0.147500000000002,-0.136666666666667
"491",-3.7,29510,10,1980,617.14,8.875,0,617.71125,618.266666666667,619.489032258065,621.328524590164,622.929230769231,625.33861878453,9.84375,12.6833333333333,14.9033903870968,16.1168869180328,17.3970340879121,14.9461607845304,47.7,98.2,98.2,406.7,-0.161000000000001,-0.157999999999998,-0.148666666666668
"498",-4.2,29517,10,1980,616.05,10.25,0,616.62125,617.168,618.428064516129,620.431967213115,622.096483516484,625.018895027624,8.46875,9.175,12.9033903870968,15.112788557377,16.6937373846154,14.9641165856354,57.2,85.2,110.2,418.7,-0.158000000000004,-0.158000000000004,-0.159333333333336
"505",-3.8,29524,10,1980,614.87,13.625,0,615.46375,616.042,617.313225806452,619.472459016393,621.227252747253,624.616850828729,10.96875,9.68333333333333,11.616935483871,14.4898377377049,16.0893417802198,15.1077629944751,18,76.2,111.2,397.1,-0.168999999999994,-0.1625,-0.161000000000001
"512",-4.6,29531,11,1980,613.84,0.5,7.5,614.30875,614.887333333333,616.187741935484,618.469016393443,620.326593406593,624.141657458563,10,10.275,9.93145161290323,13.5861492131148,15.1099461758242,15.0248900662983,65.5,121.2,158.7,381.9,-0.153999999999996,-0.157999999999998,-0.158666666666666
"520",-5.5,29539,11,1980,614.21,5.5,0,614.0175,614.116,615.15064516129,617.395245901639,619.350549450549,623.53408839779,6.25,7.75833333333333,8.81854838709677,12.0123787213115,13.8036274945055,14.8916027734807,94.7,142.4,192.9,386.9,0.0160000000000082,-0.0754999999999995,-0.102999999999997
"526",-6,29545,11,1980,613.58,8,0,613.96625,613.948,614.558064516129,616.653114754098,618.652857142857,623.051104972376,6.6875,6.15,8.50806451612903,10.9222147868852,13.0797263956044,14.7914646519337,82.7,142.4,167.9,366.9,-0.0549999999999955,-0.0560000000000002,-0.0936666666666648
"534",-6.3,29553,11,1980,612.37,1.5,0,612.915,613.384666666667,613.813225806452,615.652786885246,617.687362637363,622.363370165746,6.15625,6.43333333333333,7.56451612903226,9.59016393442623,12.1896165054945,14.611906640884,91.7,126.2,167.9,359,-0.146000000000004,-0.0589999999999975,-0.0889999999999986
"540",-7,29559,12,1980,611.43,0.25,0,611.95875,612.511333333333,613.267419354839,614.900655737705,616.938901098901,621.804640883978,0.171875,3.525,4.86693548387097,7.81967213114754,11.0330230989011,14.029724320442,91.7,109.7,167.9,359,-0.157000000000005,-0.139000000000004,-0.0873333333333335
"547",-7.7,29566,12,1980,610.56,-1,0,610.9925,611.478666666667,612.608387096774,614.039344262295,616.053076923077,621.118950276243,-0.453125,-0.166666666666667,3.51612903225806,6.27459016393443,9.62780331868132,13.4972657569061,13.7,104.7,152.4,294.1,-0.130000000000007,-0.144500000000005,-0.123000000000002
"555",-7.9,29574,12,1980,609.55,2.375,0,609.9875,610.427333333333,611.541612903226,613.087868852459,615.027142857143,620.29817679558,2.90625,1.29166666666667,2.58870967741935,5.51844262295082,8.20884727472527,12.8846966961326,13.7,96.4,156.1,295.3,-0.125999999999999,-0.132500000000005,-0.138666666666669
"576",-8.3,29595,1,1981,606.85,2.75,0,607.2425,607.704666666667,608.751290322581,610.738196721312,612.356043956044,617.927071823204,1.984375,2.675,2.65322580645161,3.3155737704918,5.28021978021978,11.4779287403315,3.7,18.4,108.4,241.3,-0.125,-0.128499999999997,-0.128000000000001
"583",-8.4,29602,1,1981,606.76,5,0,606.81125,607.038666666667,607.961612903226,609.890655737705,611.535714285714,617.116629834254,2.96875,2.45833333333333,2.92338709677419,2.91803278688525,4.78846153846154,10.9965751491713,8.7,22.4,109.4,215.3,-0.0399999999999977,-0.0870000000000005,-0.101333333333332
"590",-8.4,29609,1,1981,606.68,7.875,0,606.725,606.768666666667,607.352258064516,609.105245901639,610.791978021978,616.325138121547,5.578125,4.225,3.56451612903226,2.70081967213115,4.54395604395604,10.4855254254144,8.7,22.4,105.1,215.3,-0.0129999999999995,-0.0450000000000046,-0.0740000000000009
"597",-8.6,29616,1,1981,606.57,3.75,0,606.6225,606.673333333333,606.925806451613,608.42737704918,610.130769230769,615.557403314917,4.671875,4.94166666666667,3.67338709677419,2.71516393442623,3.96428571428571,9.93303923756906,8.7,12.4,104.1,215.3,-0.0149999999999977,-0.0134999999999991,-0.0463333333333329
"603",-8.6,29622,2,1981,606.46,6.25,0,606.52375,606.58,606.707419354839,607.935901639344,609.626703296703,614.918397790055,4.34375,4.875,4.20161290322581,3.27459016393443,3.68543956043956,9.32530443093923,8.7,12.4,56.6,215.3,-0.0169999999999959,-0.0149999999999977,-0.0233333333333311
